iter	RMSE
595	50.32339434
596	50.30555842
597	50.27859408
598	50.23008542
599	50.20475258
600	50.17754208
601	50.1449129
602	50.09272244
603	50.08582671
604	50.04170891
605	50.01625782
606	50.01400839
607	49.9777575
608	49.95315176
609	49.91835306
610	49.88885789
611	49.85496834
612	49.83714188
613	49.81510038
614	49.78553722
615	49.75148483
616	49.71505581
617	49.67604875
618	49.62622465
619	49.58998196
620	49.56269269
621	49.5222425
622	49.49136213
623	49.46527919
624	49.4163261
625	49.40313737
626	49.37945223
627	49.35865238
628	49.33277634
629	49.29548183
630	49.26973539
631	49.24115438
632	49.21201495
633	49.18956097
634	49.14200179
635	49.14055737
636	49.11504314
637	49.08834643
638	49.06555478
639	49.05399552
640	49.02042743
641	48.99168289
642	48.94188219
643	48.9231003
644	48.89098423
645	48.87044145
646	48.83461504
647	48.81327539
648	48.79662825
649	48.7763152
650	48.72392435
651	48.70257104
652	48.67542068
653	48.63046119
654	48.61176897
655	48.6009049
656	48.57350555
657	48.52891878
658	48.5194268
659	48.49818436
660	48.48451475
661	48.46647054
662	48.44777538
663	48.43048716
664	48.37980349
665	48.35065328
666	48.33598439
667	48.30382905
668	48.24588134
669	48.21936575
670	48.20053759
671	48.18286722
672	48.15658602
673	48.12023187
674	48.09747116
675	48.07870505
676	48.05824017
677	48.02329294
678	48.01093755
679	47.96436988
680	47.91941228
681	47.90296974
682	47.85500688
683	47.82844004
684	47.79022486
685	47.76432234
686	47.71002039
687	47.66089315
688	47.61079836
689	47.59175346
690	47.58812378
691	47.57161516
692	47.55312163
693	47.52922015
694	47.52508478
695	47.48660303
696	47.44463883
697	47.41458216
698	47.40657997
699	47.38178826
700	47.35020596
701	47.30350401
702	47.2847173
703	47.26814665
704	47.24788983
705	47.22977708
706	47.20537999
707	47.18135544
708	47.14522971
709	47.11829435
710	47.10189543
711	47.08073893
712	47.06590732
713	47.04040117
714	46.99895635
715	46.95362731
716	46.94820317
717	46.93515674
718	46.90280764
719	46.9010133
720	46.85600083
721	46.81913079
722	46.81691228
723	46.7789627
724	46.75347608
725	46.71500498
726	46.67550365
727	46.6535623
728	46.6163582
729	46.57628493
730	46.55701727
731	46.51857497
732	46.5067817
733	46.47707812
734	46.43397161
735	46.40433397
736	46.36593973
737	46.32804845
738	46.2905601
739	46.24180143
740	46.20584037
741	46.16576305
742	46.16493133
743	46.14677829
744	46.09874006
745	46.07485661
746	46.06096345
747	46.03712595
748	46.00391054
749	45.97117919
750	45.94498767
751	45.91808533
752	45.89126115
753	45.86342379
754	45.86236942
755	45.82420845
756	45.79690156
757	45.78022359
758	45.75983534
759	45.72911862
760	45.71267063
761	45.69504817
762	45.67159558
763	45.65831752
764	45.6428053
765	45.62914667
766	45.58957096
767	45.51893394
768	45.49059068
769	45.46436869
770	45.450783
771	45.44051293
772	45.42765211
773	45.3915753
774	45.39118073
775	45.36944714
776	45.33859054
777	45.32468124
778	45.32429295
779	45.31297474
780	45.26887102
781	45.23403308
782	45.19787818
783	45.18436136
784	45.14899937
785	45.11362941
786	45.07660468
787	45.05412584
788	45.02024857
789	44.99608707
790	44.98071407
791	44.9425491
792	44.92129988
793	44.88372031
794	44.8565205
795	44.84589645
796	44.83231897
797	44.7881889
798	44.76925638
799	44.73910174
800	44.7123207
801	44.67179354
802	44.64789956
803	44.61249227
804	44.58509991
805	44.57106773
806	44.54228048
807	44.4855554
808	44.4479414
809	44.42003917
810	44.41845921
811	44.3826997
812	44.35866505
813	44.35583996
814	44.34114297
815	44.31749355
816	44.30626172
817	44.27406964
818	44.26020068
819	44.21249633
820	44.19329797
821	44.18056565
822	44.16786631
823	44.14499845
824	44.12815233
825	44.1234147
826	44.09241977
827	44.0558951
828	44.03681439
829	44.01273247
830	43.99796388
831	43.98304116
832	43.95187788
833	43.93835901
834	43.90932334
835	43.89509863
836	43.84410197
837	43.83295948
838	43.79379803
839	43.78679766
840	43.76379026
841	43.73262401
842	43.70686261
843	43.69024209
844	43.67325682
845	43.64731855
846	43.63232811
847	43.60439882
848	43.56804461
849	43.5410054
850	43.51418692
851	43.50379943
852	43.48247924
853	43.41757667
854	43.40489331
855	43.38191442
856	43.34028173
857	43.33371899
858	43.31387614
859	43.29955084
860	43.27294841
861	43.23963754
862	43.20682552
863	43.18585717
864	43.17696465
865	43.13871963
866	43.12880617
867	43.1227253
868	43.09592309
869	43.08383368
870	43.05708324
871	43.02546481
872	43.00989686
873	42.97889884
874	42.95515535
875	42.90218629
876	42.86457097
877	42.83221584
878	42.8165527
879	42.79081694
880	42.76875509
881	42.7492295
882	42.72462922
883	42.69600487
884	42.68433151
885	42.66917145
886	42.65345633
887	42.59818688
888	42.56606117
889	42.53309068
890	42.4981346
891	42.48068382
892	42.45880845
893	42.4405357
894	42.42054887
895	42.38219422
896	42.36189596
897	42.33309682
898	42.32154078
899	42.28671341
900	42.2853923
901	42.24842793
902	42.20762394
903	42.19594565
904	42.19470461
905	42.18131917
906	42.16205266
907	42.14137503
908	42.09945604
909	42.07321444
910	42.05290241
911	42.02505459
912	42.02218677
913	42.01849845
914	41.99627376
915	41.97334798
916	41.95544504
917	41.95486066
918	41.93955472
919	41.91852216
920	41.89991747
921	41.89900639
922	41.88421121
923	41.87082535
924	41.84989451
925	41.83179861
926	41.79792721
927	41.76628283
928	41.75667986
929	41.74227883
930	41.72093251
931	41.68942092
932	41.66312944
933	41.63579999
934	41.61592924
935	41.60275588
936	41.57639865
937	41.54273699
938	41.5171271
939	41.51209164
940	41.48406253
941	41.47097855
942	41.43474305
943	41.40014583
944	41.38372023
945	41.3726034
946	41.35305954
947	41.32117547
948	41.29552677
949	41.25819724
950	41.20673656
951	41.19074676
952	41.14806939
953	41.13677724
954	41.11856486
955	41.09717821
956	41.08013745
957	41.04830901
958	41.01649361
959	40.9978434
960	40.99753565
961	40.99048296
