iter	Passed	Remaining
867	2122	322
868	2124	320
869	2126	317
870	2128	315
871	2130	312
872	2132	310
873	2134	307
874	2136	305
875	2139	302
876	2141	300
877	2143	297
878	2145	295
879	2147	292
880	2150	290
881	2153	288
882	2155	285
883	2158	283
884	2160	280
885	2162	278
886	2164	275
887	2167	273
888	2171	271
889	2173	268
890	2175	266
891	2177	263
892	2180	261
893	2182	258
894	2184	256
895	2187	253
896	2189	251
897	2191	248
898	2193	246
899	2195	243
900	2197	241
901	2199	239
902	2202	236
903	2204	234
904	2206	231
905	2208	229
906	2210	226
907	2212	224
908	2214	221
909	2216	219
910	2218	216
911	2221	214
912	2223	211
913	2226	209
914	2228	207
915	2231	204
916	2233	202
917	2236	199
918	2238	197
919	2240	194
920	2243	192
921	2245	189
922	2247	187
923	2249	185
924	2251	182
925	2253	180
926	2256	177
927	2258	175
928	2260	172
929	2262	170
930	2264	167
931	2267	165
932	2269	162
933	2272	160
934	2274	158
935	2276	155
936	2278	153
937	2280	150
938	2282	148
939	2285	145
940	2287	143
941	2289	140
942	2291	138
943	2293	136
944	2295	133
945	2298	131
946	2300	128
947	2302	126
948	2304	123
949	2306	121
950	2309	118
951	2311	116
952	2313	114
953	2315	111
954	2317	109
955	2319	106
956	2321	104
957	2324	101
958	2326	99
959	2328	97
960	2330	94
961	2332	92
962	2336	89
963	2338	87
964	2340	84
965	2342	82
966	2345	80
967	2347	77
968	2349	75
969	2351	72
970	2353	70
971	2355	67
972	2357	65
973	2359	62
974	2362	60
975	2364	58
976	2366	55
977	2368	53
978	2370	50
979	2373	48
980	2375	46
981	2377	43
982	2379	41
983	2381	38
984	2384	36
985	2386	33
986	2388	31
987	2390	29
988	2392	26
989	2394	24
990	2396	21
991	2399	19
992	2401	16
993	2403	14
994	2405	12
995	2407	9
996	2409	7
997	2411	4
998	2413	2
999	2416	0
